bib_file	title	year	status	similarity	crossref_title	crossref_year	crossref_doi	note
bib/entries/arxiv_2603_17437.bib	FloorPlan-VLN: A New Paradigm for Floor Plan Guided Vision-Language Navigation	2026	title_mismatch	0.656	RSG-VLN: Relevance Semantic Map Guided Vision-Language Navigation	2025	10.1109/itsc60802.2025.11423232	bib=FloorPlan-VLN: A New Paradigm for Floor Plan Guided Vision-Language Navigation crossref=RSG-VLN: Relevance Semantic Map Guided Vision-Language Navigation
bib/entries/arxiv_2603_16166.bib	SignNav: Leveraging Signage for Semantic Visual Navigation in Large-Scale Indoor Environments	2026	title_mismatch	0.614	Semantic representation for navigation in large-scale environments	2015	10.1109/icra.2015.7139314	bib=SignNav: Leveraging Signage for Semantic Visual Navigation in Large-Scale Indoor Environments crossref=Semantic representation for navigation in large-scale environments
bib/entries/arxiv_2602_18424.bib	CapNav: Benchmarking Vision Language Models on Capability-conditioned Indoor Navigation	2026	title_mismatch	0.676	Benchmarking Large Language Model Reasoning in Indoor Robot Navigation	2025	10.1109/siu66497.2025.11111749	bib=CapNav: Benchmarking Vision Language Models on Capability-conditioned Indoor Navigation crossref=Benchmarking Large Language Model Reasoning in Indoor Robot Navigation
bib/entries/arxiv_2602_02220.bib	LangMap: A Hierarchical Benchmark for Open-Vocabulary Goal Navigation	2026	title_mismatch	0.672	HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation	2024	10.1109/iros58592.2024.10802709	bib=LangMap: A Hierarchical Benchmark for Open-Vocabulary Goal Navigation crossref=HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation
bib/entries/arxiv_2601_03707.bib	AirNav: A Large-Scale Real-World UAV Vision-and-Language Navigation Dataset with Natural and Diverse Instructions	2026	title_mismatch	0.482	SkyScript: A Large and Semantically Diverse Vision-Language Dataset for Remote Sensing	2024	10.1609/aaai.v38i6.28393	bib=AirNav: A Large-Scale Real-World UAV Vision-and-Language Navigation Dataset with Natural and Diverse Instructions crossref=SkyScript: A Large and Semantically Diverse Vision-Language Dataset for Remote Sensing
bib/entries/arxiv_2512_22867.bib	MUSON: A Reasoning-oriented Multimodal Dataset for Socially Compliant Navigation in Urban Environments	2025	title_mismatch	0.543	Online Context Learning for Socially Compliant Navigation	2025	10.1109/lra.2025.3557309	bib=MUSON: A Reasoning-oriented Multimodal Dataset for Socially Compliant Navigation in Urban Environments crossref=Online Context Learning for Socially Compliant Navigation
bib/entries/arxiv_2512_19021.bib	VLNverse: A Benchmark for Vision-Language Navigation with Versatile, Embodied, Realistic Simulation and Evaluation	2025	title_mismatch	0.478	AR-Nav Benchmark: Augmented Reality Navigation with Vision and Language	2026	10.1609/aaai.v40i21.38849	bib=VLNverse: A Benchmark for Vision-Language Navigation with Versatile, Embodied, Realistic Simulation and Evaluation crossref=AR-Nav Benchmark: Augmented Reality Navigation with Vision and Language
bib/entries/arxiv_2512_22342.bib	VL-LN Bench: Towards Long-Horizon Goal-Oriented Navigation with Active Dialogs	2025	title_mismatch	0.571	UniGoal: Towards Universal Zero-shot Goal-oriented Navigation	2025	10.1109/cvpr52734.2025.01775	bib=VL-LN Bench: Towards Long-Horizon Goal-Oriented Navigation with Active Dialogs crossref=UniGoal: Towards Universal Zero-shot Goal-oriented Navigation
bib/entries/arxiv_2512_19024.bib	IndoorUAV: Benchmarking Vision-Language UAV Navigation in Continuous Indoor Environments	2025	year_diff	1.000	IndoorUAV: Benchmarking Vision-Language UAV Navigation in Continuous Indoor Environments	2026	10.1609/aaai.v40i28.39562	bib=2025 crossref=2026
bib/entries/arxiv_2512_09607.bib	UrbanNav: Learning Language-Guided Urban Navigation from Web-Scale Human Trajectories	2025	title_mismatch	0.949	UrbanNav: Learning Language-Guided Embodied Urban Navigation from Web-Scale Human Trajectories	2026	10.1609/aaai.v40i22.38916	bib=UrbanNav: Learning Language-Guided Urban Navigation from Web-Scale Human Trajectories crossref=UrbanNav: Learning Language-Guided Embodied Urban Navigation from Web-Scale Human Trajectories
bib/entries/arxiv_2511_13269.bib	Is your VLM Sky-Ready? A Comprehensive Spatial Intelligence Benchmark for UAV Navigation	2025	title_mismatch	0.639	A COMPREHENSIVE REVIEW OF ARTIFICIAL INTELLIGENCE-BASED UAV NAVIGATION METHODS	2025	10.31673/2412-4338.2025.024074	bib=Is your VLM Sky-Ready? A Comprehensive Spatial Intelligence Benchmark for UAV Navigation crossref=A COMPREHENSIVE REVIEW OF ARTIFICIAL INTELLIGENCE-BASED UAV NAVIGATION METHODS
bib/entries/arxiv_2510_08173.bib	NavSpace: How Navigation Agents Follow Spatial Intelligence Instructions	2025	title_mismatch	0.545	Mobile Agents with Spatial Intelligence	2002	10.1093/oso/9780195143362.003.0015	bib=NavSpace: How Navigation Agents Follow Spatial Intelligence Instructions crossref=Mobile Agents with Spatial Intelligence
bib/entries/arxiv_2509_12129.bib	Embodied Navigation Foundation Model	2025	title_mismatch	0.706	Embodied navigation	2025	10.1007/s11432-024-4303-8	bib=Embodied Navigation Foundation Model crossref=Embodied navigation
bib/entries/arxiv_2509_08757.bib	SocialNav-SUB: Benchmarking VLMs for Scene Understanding in Social Robot Navigation	2025	title_mismatch	0.696	Real-time plane segmentation for scene understanding in robot navigation	2017	10.1109/cisp-bmei.2017.8301929	bib=SocialNav-SUB: Benchmarking VLMs for Scene Understanding in Social Robot Navigation crossref=Real-time plane segmentation for scene understanding in robot navigation
bib/entries/arxiv_2508_00288.bib	UAV-ON: A Benchmark for Open-World Object Goal Navigation with Aerial Agents	2025	ok	1.000	UAV-ON: A Benchmark for Open-World Object Goal Navigation with Aerial Agents	2025	10.1145/3746027.3758251	
bib/entries/arxiv_2506_09839.bib	OctoNav: Towards Generalist Embodied Navigation	2025	title_mismatch	0.763	Towards Versatile Embodied Navigation	2022	10.52202/068431-2671	bib=OctoNav: Towards Generalist Embodied Navigation crossref=Towards Versatile Embodied Navigation
bib/entries/arxiv_2506_01031.bib	NavBench: Probing Multimodal Large Language Models for Embodied Navigation	2025	title_mismatch	0.695	Probing Multimodal Large Language Models for Global and Local Semantic Representations	2024	10.63317/2rcfctfddh6c	bib=NavBench: Probing Multimodal Large Language Models for Embodied Navigation crossref=Probing Multimodal Large Language Models for Global and Local Semantic Representations
bib/entries/arxiv_2505_18881.bib	SD-OVON: A Semantics-aware Dataset and Benchmark Generation Pipeline for Open-Vocabulary Object Navigation in Dynamic Scenes	2025	title_mismatch	0.678	HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation	2024	10.1109/iros58592.2024.10802709	bib=SD-OVON: A Semantics-aware Dataset and Benchmark Generation Pipeline for Open-Vocabulary Object Navigation in Dynamic Scenes crossref=HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation
bib/entries/arxiv_2505_15725.bib	UAV-Flow Colosseo: A Real-World Benchmark for Flying-on-a-Word UAV Imitation Learning	2025	title_mismatch	0.482	UAV-Assisted Communication in Remote Disaster Areas Using Imitation Learning	2021	10.1109/ojcoms.2021.3067001	bib=UAV-Flow Colosseo: A Real-World Benchmark for Flying-on-a-Word UAV Imitation Learning crossref=UAV-Assisted Communication in Remote Disaster Areas Using Imitation Learning
bib/entries/arxiv_2503_14229.bib	HA-VLN 2.0: An Open Benchmark and Leaderboard for Human-Aware Navigation in Discrete and Continuous Environments with Dynamic Multi-Human Interactions	2025	title_mismatch	0.521	Human-Aware Vision-and-Language Navigation: Bridging Simulation to Reality with Dynamic Human Interactions	2024	10.52202/079017-3795	bib=HA-VLN 2.0: An Open Benchmark and Leaderboard for Human-Aware Navigation in Discrete and Continuous Environments with Dynamic Multi-Human Interactions crossref=Human-Aware Vision-and-Language Navigation: Bridging Simulation to Reality with Dynamic Human Interactions
bib/entries/arxiv_2502_18041.bib	OpenFly: A Comprehensive Platform for Aerial Vision-Language Navigation	2025	title_mismatch	0.697	History-Enhanced Two-Stage Transformer for Aerial Vision-and-Language Navigation	2026	10.1609/aaai.v40i22.38885	bib=OpenFly: A Comprehensive Platform for Aerial Vision-Language Navigation crossref=History-Enhanced Two-Stage Transformer for Aerial Vision-and-Language Navigation
bib/entries/arxiv_2501_05478.bib	Language and Planning in Robotic Navigation: A Multilingual Evaluation of State-of-the-Art Models	2025	title_mismatch	0.553	LANGUAGE PLANNING AND LANGUAGE PLANNING RESEARCH: THE STATE OF THE ART	1974	10.1515/ling.1974.12.119.15	bib=Language and Planning in Robotic Navigation: A Multilingual Evaluation of State-of-the-Art Models crossref=LANGUAGE PLANNING AND LANGUAGE PLANNING RESEARCH: THE STATE OF THE ART
bib/entries/arxiv_2412_09082.bib	Towards Long-Horizon Vision-Language Navigation: Platform, Benchmark and Method	2024	year_diff	1.000	Towards Long-Horizon Vision-Language Navigation: Platform, Benchmark and Method	2025	10.1109/cvpr52734.2025.01128	bib=2024 crossref=2025
bib/entries/arxiv_2410_09604.bib	EmbodiedCity: A Benchmark Platform for Embodied Agent in Real-World City Environment	2024	title_mismatch	0.586	See and Think: Embodied Agent in Virtual Environment	2025	10.1007/978-3-031-73242-3_11	bib=EmbodiedCity: A Benchmark Platform for Embodied Agent in Real-World City Environment crossref=See and Think: Embodied Agent in Virtual Environment
bib/entries/arxiv_2410_07087.bib	Towards Realistic UAV Vision-Language Navigation: Platform, Benchmark, and Methodology	2024	title_mismatch	0.831	Towards Long-Horizon Vision-Language Navigation: Platform, Benchmark and Method	2025	10.1109/cvpr52734.2025.01128	bib=Towards Realistic UAV Vision-Language Navigation: Platform, Benchmark, and Methodology crossref=Towards Long-Horizon Vision-Language Navigation: Platform, Benchmark and Method
bib/entries/arxiv_2409_14296.bib	HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation	2024	ok	1.000	HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation	2024	10.1109/iros58592.2024.10802709	
bib/entries/arxiv_2406_14240.bib	CityNav: A Large-Scale Dataset for Real-World Aerial Navigation	2024	title_mismatch	0.633	DeeperForensics-1.0: A Large-Scale Dataset for Real-World Face Forgery Detection	2020	10.1109/cvpr42600.2020.00296	bib=CityNav: A Large-Scale Dataset for Real-World Aerial Navigation crossref=DeeperForensics-1.0: A Large-Scale Dataset for Real-World Face Forgery Detection
bib/entries/arxiv_2406_02425.bib	CoNav: A Benchmark for Human-Centered Collaborative Navigation	2024	title_mismatch	0.703	Human-centered collaborative interaction	2006	10.1145/1178745.1178747	bib=CoNav: A Benchmark for Human-Centered Collaborative Navigation crossref=Human-centered collaborative interaction
bib/entries/arxiv_2405_07060.bib	Memory-Maze: Scenario Driven Visual Language Navigation Benchmark for Guiding Blind People	2024	author_mismatch	1.000	Memory-Maze: Scenario Driven Visual Language Navigation Benchmark for Guiding Blind People	2025	10.1109/lra.2025.3615028	bib=['Masaki Kuribayashi', 'Kohei Uehara', 'Allan Wang', 'Daisuke Sato', 'Simon Chu', 'Shigeo Morishima'] crossref=['Masaki Kuribayashi', 'Kohei Uehara', 'Allan Wang', 'Daisuke Sato', 'Renato Alexandre Ribeiro', 'Simon Chu', 'Shigeo Morishima']
bib/entries/arxiv_2402_19007.bib	DOZE: A Dataset for Open-Vocabulary Zero-Shot Object Navigation in Dynamic Environments	2024	ok	1.000	DOZE: A Dataset for Open-Vocabulary Zero-Shot Object Navigation in Dynamic Environments	2024	10.1109/lra.2024.3426381	
bib/entries/arxiv_2402_14304.bib	Vision-Language Navigation with Embodied Intelligence: A Survey	2024	title_mismatch	0.639	Vision-language navigation: a survey and taxonomy	2024	10.1007/s00521-023-09217-1	bib=Vision-Language Navigation with Embodied Intelligence: A Survey crossref=Vision-language navigation: a survey and taxonomy
bib/entries/arxiv_2311_06922.bib	A Survey on Socially Aware Robot Navigation: Taxonomy and Future Challenges	2023	year_diff	1.000	A survey on socially aware robot navigation: Taxonomy and future challenges	2024	10.1177/02783649241230562	bib=2023 crossref=2024
bib/entries/arxiv_2311_00530.bib	Advances in Embodied Navigation Using Large Language Models: A Survey	2023	title_mismatch	0.650	Immersive Tailoring of Embodied Agents Using Large Language Models	2025	10.1109/vr59515.2025.00063	bib=Advances in Embodied Navigation Using Large Language Models: A Survey crossref=Immersive Tailoring of Embodied Agents Using Large Language Models
bib/entries/arxiv_2308_06735.bib	AerialVLN: Vision-and-Language Navigation for UAVs	2023	ok	1.000	AerialVLN: Vision-and-Language Navigation for UAVs	2023	10.1109/iccv51070.2023.01411	
bib/entries/arxiv_2306_14846.bib	ViNT: A Foundation Model for Visual Navigation	2023	title_mismatch	0.528	EffoNAV: An Effective Foundation-Model-Based Visual Navigation Approach in Challenging Environment	2025	10.1109/lra.2025.3572815	bib=ViNT: A Foundation Model for Visual Navigation crossref=EffoNAV: An Effective Foundation-Model-Based Visual Navigation Approach in Challenging Environment
bib/entries/arxiv_2306_11377.bib	HabiCrowd: A High Performance Simulator for Crowd-Aware Visual Navigation	2023	author_mismatch	1.000	HabiCrowd: A High Performance Simulator for Crowd-Aware Visual Navigation	2024	10.1109/iros58592.2024.10801823	bib=['An Dinh Vuong', 'Toan Tien Nguyen', 'Minh Nhat VU', 'Baoru Huang', 'Dzung Nguyen', 'Huynh Thi Thanh Binh', 'Thieu Vo', 'Anh Nguyen'] crossref=['An Vuong', 'Toan Nguyen', 'Minh Nhat Vu', 'Baoru Huang', 'H.T.T Binh', 'Thieu Vo', 'Anh Nguyen']
bib/entries/arxiv_2304_05979.bib	NaviSTAR: Socially Aware Robot Navigation with Hybrid Spatio-Temporal Graph Transformer and Preference Learning	2023	ok	1.000	NaviSTAR: Socially Aware Robot Navigation with Hybrid Spatio-Temporal Graph Transformer and Preference Learning	2023	10.1109/iros55552.2023.10341395	
bib/entries/arxiv_2206_11610.bib	1st Place Solutions for RxR-Habitat Vision-and-Language Navigation Competition (CVPR 2022)	2022	title_mismatch	0.504	Conference on Computer Vision and Pattern Recognition (CVPR) 2022	2021	10.1111/phor.9_12391	bib=1st Place Solutions for RxR-Habitat Vision-and-Language Navigation Competition (CVPR 2022) crossref=Conference on Computer Vision and Pattern Recognition (CVPR) 2022
bib/entries/arxiv_2203_10421.bib	CoWs on Pasture: Baselines and Benchmarks for Language-Driven Zero-Shot Object Navigation	2022	year_diff	1.000	CoWs on Pasture: Baselines and Benchmarks for Language-Driven Zero-Shot Object Navigation	2023	10.1109/cvpr52729.2023.02219	bib=2022 crossref=2023
bib/entries/arxiv_2202_02312.bib	A Dataset for Interactive Vision-Language Navigation with Unknown Command Feasibility	2022	ok	1.000	A Dataset for Interactive Vision-Language Navigation with Unknown Command Feasibility	2022	10.1007/978-3-031-20074-8_18	
bib/entries/arxiv_2110_05728.bib	Rethinking the Spatial Route Prior in Vision-and-Language Navigation	2021	title_mismatch	0.698	Hierarchical Spatial Proximity Reasoning for Vision-and-Language Navigation	2024	10.1109/lra.2024.3477129	bib=Rethinking the Spatial Route Prior in Vision-and-Language Navigation crossref=Hierarchical Spatial Proximity Reasoning for Vision-and-Language Navigation
bib/entries/arxiv_2108_11544.bib	Vision-Language Navigation: A Survey and Taxonomy	2021	author_mismatch	1.000	Vision-language navigation: a survey and taxonomy	2024	10.1007/s00521-023-09217-1	bib=['Wansen Wu', 'Tao Chang', 'Xinmeng Li'] crossref=['Wansen Wu', 'Tao Chang', 'Xinmeng Li', 'Quanjun Yin', 'Yue Hu']
bib/entries/arxiv_2108_02846.bib	Communicative Learning with Natural Gestures for Embodied Navigation Agents with Human-in-the-Scene	2021	ok	1.000	Communicative Learning with Natural Gestures for Embodied Navigation Agents with Human-in-the-Scene	2021	10.1109/iros51168.2021.9636208	
bib/entries/arxiv_2107_07201.bib	Neighbor-view Enhanced Model for Vision and Language Navigation	2021	ok	1.000	Neighbor-view Enhanced Model for Vision and Language Navigation	2021	10.1145/3474085.3475282	
bib/entries/arxiv_2106_11650.bib	A Survey on Human-aware Robot Navigation	2021	ok	1.000	A survey on human-aware robot navigation	2021	10.1016/j.robot.2021.103837	
bib/entries/arxiv_2105_11589.bib	VISITRON: Visual Semantics-Aligned Interactively Trained Object-Navigator	2021	author_mismatch	1.000	VISITRON: Visual Semantics-Aligned Interactively Trained Object-Navigator	2022	10.18653/v1/2022.findings-acl.157	bib=['Ayush Shrivastava', 'Karthik Gopalakrishnan', 'Yang Liu', 'Robinson Piramuthu', 'Gokhan Tür', 'Devi Parikh', 'Dilek Hakkani-Tür'] crossref=['Ayush Shrivastava', 'Karthik Gopalakrishnan', 'Yang Liu', 'Robinson Piramuthu', 'Gokhan Tur', 'Devi Parikh', 'Dilek Hakkani-Tur']
bib/entries/arxiv_2104_04167.bib	The Road to Know-Where: An Object-and-Room Informed Sequential BERT for Indoor Vision-Language Navigation	2021	ok	1.000	The Road to Know-Where: An Object-and-Room Informed Sequential BERT for Indoor Vision-Language Navigation	2021	10.1109/iccv48922.2021.00168	
bib/entries/arxiv_2103_16561.bib	Diagnosing Vision-and-Language Navigation: What Really Matters	2021	year_diff	1.000	Diagnosing Vision-and-Language Navigation: What Really Matters	2022	10.18653/v1/2022.naacl-main.438	bib=2021 crossref=2022
bib/entries/arxiv_2103_00852.bib	CrossMap Transformer: A Crossmodal Masked Path Transformer Using Double Back-Translation for Vision-and-Language Navigation	2021	ok	1.000	CrossMap Transformer: A Crossmodal Masked Path Transformer Using Double Back-Translation for Vision-and-Language Navigation	2021	10.1109/lra.2021.3092686	
bib/entries/arxiv_2101_07891.bib	A modular vision language navigation and manipulation framework for long horizon compositional tasks in indoor environment	2021	author_mismatch	1.000	A Modular Vision Language Navigation and Manipulation Framework for Long Horizon Compositional Tasks in Indoor Environment	2022	10.3389/frobt.2022.930486	bib=['Homagni Saha', 'Fateme Fotouhif', 'Qisai Liu', 'Soumik Sarkar'] crossref=['Homagni Saha', 'Fateme Fotouhi', 'Qisai Liu', 'Soumik Sarkar']
bib/entries/arxiv_2012_05292.bib	Topological Planning with Transformers for Vision-and-Language Navigation	2020	author_mismatch	1.000	Topological Planning with Transformers for Vision-and-Language Navigation	2021	10.1109/cvpr46437.2021.01112	bib=['Kevin Chen', 'Junshen K. Chen', 'Jo Chuang', 'Marynel Vázquez', 'Silvio Savarese'] crossref=['Kevin Chen', 'Junshen K. Chen', 'Jo Chuang', 'Marynel Vazquez', 'Silvio Savarese']
bib/entries/arxiv_2011_07660.bib	ArraMon: A Joint Navigation-Assembly Instruction Interpretation Task in Dynamic Environments	2020	ok	1.000	ArraMon: A Joint Navigation-Assembly Instruction Interpretation Task in Dynamic Environments	2020	10.18653/v1/2020.findings-emnlp.348	
bib/entries/arxiv_2010_07954.bib	Room-Across-Room: Multilingual Vision-and-Language Navigation with Dense Spatiotemporal Grounding	2020	ok	1.000	Room-Across-Room: Multilingual Vision-and-Language Navigation with Dense Spatiotemporal Grounding	2020	10.18653/v1/2020.emnlp-main.356	
bib/entries/arxiv_2007_07268.bib	Explore and Explain: Self-supervised Navigation and Recounting	2020	year_diff	1.000	Explore and Explain: Self-supervised Navigation and Recounting	2021	10.1109/icpr48806.2021.9412628	bib=2020 crossref=2021
bib/entries/arxiv_2007_00229.bib	Multimodal Text Style Transfer for Outdoor Vision-and-Language Navigation	2020	year_diff	1.000	Multimodal Text Style Transfer for Outdoor Vision-and-Language Navigation	2021	10.18653/v1/2021.eacl-main.103	bib=2020 crossref=2021
bib/entries/arxiv_2006_00697.bib	Translating Natural Language Instructions for Behavioral Robot Navigation with a Multi-Head Attention Mechanism	2020	ok	1.000	Translating Natural Language Instructions for Behavioral Robot Navigation with a Multi-Head Attention Mechanism	2020	10.18653/v1/2020.winlp-1.24	
bib/entries/arxiv_2005_03086.bib	Diagnosing the Environment Bias in Vision-and-Language Navigation	2020	ok	1.000	Diagnosing the Environment Bias in Vision-and-Language Navigation	2020	10.24963/ijcai.2020/124	
bib/entries/arxiv_2004_14973.bib	Improving Vision-and-Language Navigation with Image-Text Pairs from the Web	2020	ok	1.000	Improving Vision-and-Language Navigation with Image-Text Pairs from the Web	2020	10.1007/978-3-030-58539-6_16	
bib/entries/arxiv_2004_02707.bib	Sub-Instruction Aware Vision-and-Language Navigation	2020	author_mismatch	1.000	Sub-Instruction Aware Vision-and-Language Navigation	2020	10.18653/v1/2020.emnlp-main.271	bib=['Yicong Hong', 'Cristian Rodriguez-Opazo', 'Qi Wu', 'Stephen Gould'] crossref=['Yicong Hong', 'Cristian Rodriguez', 'Qi Wu', 'Stephen Gould']
bib/entries/arxiv_1912_03241.bib	VALAN: Vision and Language Agent Navigation	2019	title_mismatch	0.674	NavGemini: a multi-modal LLM agent for vision-and-language navigation	2026	10.1007/s44267-025-00105-x	bib=VALAN: Vision and Language Agent Navigation crossref=NavGemini: a multi-modal LLM agent for vision-and-language navigation
bib/entries/arxiv_1911_12377.bib	Multimodal Attention Networks for Low-Level Vision-and-Language Navigation	2019	year_diff	1.000	Multimodal attention networks for low-level vision-and-language navigation	2021	10.1016/j.cviu.2021.103255	bib=2019 crossref=2021
